Edad,Atricion,ViajeTrabajo,PagaDiaria,Departamento,DistanciaCasa,NivelEducacion,CampoEducacion,SatisfaccionConEntorno,Genero,SalarioHora,InvolucracionTrabajo,NivelTrabajo,PuestoTrabajo,SatisfaccionTrabajo,EstadoCivil,IngresosMensuales,MonthlyRate,NumCompaniasTrabajadas,TrabajoFueraDeHora,IncrementoPorcentualSalario,PerformanceTrabajo,SatisfaccionRelacion,AniosTotalesTrabajo,EntrenamientoUltimoAnio,BalanceVidaTrabajo,AniosEnCompania,AniosPuestoActual,AniosDesdeUltimoAscenso,AniosJefeActual
51,No,Poco_Frecuente,684,Investigacion & Desarrollo,6,3,Ciencias,1,Masculino,51,3,5,Director de Investigacion,3,Soltero,19537,6462,7,No,13,3,3,23,5,3,20,18,15,15
51,No,Poco_Frecuente,684,Investigacion & Desarrollo,6,3,Ciencias,1,Masculino,51,3,5,Director de Investigacion,3,Soltero,19537,6462,7,No,13,3,3,23,5,3,20,18,15,15
53,No,Poco_Frecuente,1084,Manufacturacion,13,2,Otro,4,Masculino,57,4,2,Manufacturador,1,Divorciado,4450,26250,1,No,11,3,3,5,3,3,4,2,1,3
53,No,Poco_Frecuente,1084,Manufacturacion,13,2,Otro,4,Masculino,57,4,2,Manufacturador,1,Divorciado,4450,26250,1,No,11,3,3,5,3,3,4,2,1,3
51,No,Poco_Frecuente,684,Investigacion & Desarrollo,6,3,Ciencias,1,Masculino,51,3,5,Director de Investigacion,3,Soltero,19537,6462,7,No,13,3,3,23,5,3,20,18,15,15
53,No,Poco_Frecuente,1084,Manufacturacion,13,2,Otro,4,Masculino,57,4,2,Manufacturador,1,Divorciado,4450,26250,1,No,11,3,3,5,3,3,4,2,1,3
51,No,Viaje_Frecuente,1456,Manufacturacion,1,4,Medicina,1,Masculino,30,2,3,Representante Sanitario,1,Soltero,7484,25796,3,No,20,4,3,23,1,2,13,12,12,8
53,No,Poco_Frecuente,1282,Investigacion & Desarrollo,5,3,Otro,3,Masculino,58,3,5,Jefe Area,3,Divorciado,19094,10735,4,No,11,3,4,26,3,2,14,13,4,8
53,No,Poco_Frecuente,1282,Investigacion & Desarrollo,5,3,Otro,3,Masculino,58,3,5,Jefe Area,3,Divorciado,19094,10735,4,No,11,3,4,26,3,2,14,13,4,8
53,No,Poco_Frecuente,1282,Investigacion & Desarrollo,5,3,Otro,3,Masculino,58,3,5,Jefe Area,3,Divorciado,19094,10735,4,No,11,3,4,26,3,2,14,13,4,8
51,No,Viaje_Frecuente,1456,Manufacturacion,1,4,Medicina,1,Masculino,30,2,3,Representante Sanitario,1,Soltero,7484,25796,3,No,20,4,3,23,1,2,13,12,12,8
31,Si,Poco_Frecuente,542,Ventas,20,3,Ciencias,2,Masculino,71,1,2,Ejecutivo Ventas,3,Casado,4559,24788,3,Si,11,3,3,4,2,3,2,2,2,2
31,Si,Poco_Frecuente,542,Ventas,20,3,Ciencias,2,Masculino,71,1,2,Ejecutivo Ventas,3,Casado,4559,24788,3,Si,11,3,3,4,2,3,2,2,2,2
31,Si,Poco_Frecuente,542,Ventas,20,3,Ciencias,2,Femenino,71,1,2,Ejecutivo Ventas,3,Casado,4559,24788,3,Si,11,3,3,4,2,3,2,2,2,2
31,Si,Poco_Frecuente,542,Ventas,20,3,Ciencias,2,Femenino,71,1,2,Ejecutivo Ventas,3,Casado,4559,24788,3,Si,11,3,3,4,2,3,2,2,2,2
31,Si,Poco_Frecuente,542,Ventas,20,3,Ciencias,2,Femenino,71,1,2,Ejecutivo Ventas,3,Casado,4559,24788,3,Si,11,3,3,4,2,3,2,2,2,2
59,No,Viaje_Frecuente,1225,Ventas,1,1,Ciencias,1,Femenino,57,2,2,Ejecutivo Ventas,3,Soltero,5473,24668,7,No,11,3,4,20,2,2,4,3,1,3
59,No,Viaje_Frecuente,1225,Ventas,1,1,Ciencias,1,Femenino,57,2,2,Ejecutivo Ventas,3,Soltero,5473,24668,7,No,11,3,4,20,2,2,4,3,1,3
46,No,Poco_Frecuente,705,Ventas,2,4,Marketing,2,Masculino,83,3,5,Jefe,1,Soltero,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
46,No,Poco_Frecuente,705,Ventas,2,4,Marketing,2,Masculino,83,3,5,Jefe,1,Soltero,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
59,No,NoFrecuente,1420,Recursos Humanos,2,4,Recursos Humanos,3,Masculino,32,2,5,Jefe RRHH,4,Casado,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
59,No,NoFrecuente,1420,Recursos Humanos,2,4,Recursos Humanos,3,Masculino,32,2,5,Jefe RRHH,4,Casado,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
59,No,NoFrecuente,1420,Recursos Humanos,2,4,Recursos Humanos,3,Masculino,32,2,5,Jefe RRHH,4,Casado,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
59,No,Viaje_Frecuente,1225,Ventas,1,1,Ciencias,1,Femenino,57,2,2,Ejecutivo Ventas,3,Soltero,5473,24668,7,No,11,3,4,20,2,2,4,3,1,3
59,No,Viaje_Frecuente,1225,Ventas,1,1,Ciencias,1,Femenino,57,2,2,Ejecutivo Ventas,3,Soltero,5473,24668,7,No,11,3,4,20,2,2,4,3,1,3
55,No,Poco_Frecuente,692,Investigacion & Desarrollo,14,4,Medicina,3,Masculino,61,4,5,Director de Investigacion,2,Soltero,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
55,No,Poco_Frecuente,692,Investigacion & Desarrollo,14,4,Medicina,3,Masculino,61,4,5,Director de Investigacion,2,Soltero,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
55,No,Poco_Frecuente,692,Investigacion & Desarrollo,14,4,Medicina,3,Masculino,61,4,5,Director de Investigacion,2,Soltero,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
55,No,Poco_Frecuente,692,Investigacion & Desarrollo,14,4,Medicina,3,Masculino,61,4,5,Director de Investigacion,2,Soltero,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
55,No,Poco_Frecuente,692,Investigacion & Desarrollo,14,4,Medicina,3,Masculino,61,4,5,Director de Investigacion,2,Soltero,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
54,No,Poco_Frecuente,1217,Manufacturacion,2,4,Otro,1,Femenino,60,3,3,Manufacturador,3,Casado,2238,24001,9,No,12,3,1,16,5,1,4,3,0,3
54,No,Poco_Frecuente,1217,Manufacturacion,2,4,Otro,1,Femenino,60,3,3,Manufacturador,3,Casado,2238,24001,9,No,12,3,1,16,5,1,4,3,0,3
54,No,Poco_Frecuente,1217,Manufacturacion,2,4,Otro,1,Femenino,60,3,3,Manufacturador,3,Casado,2238,24001,9,No,12,3,1,16,5,1,4,3,0,3
54,No,Poco_Frecuente,1217,Manufacturacion,2,4,Otro,1,Femenino,60,3,3,Manufacturador,3,Casado,2238,24001,9,No,12,3,1,16,5,1,4,3,0,3
54,No,Poco_Frecuente,1217,Manufacturacion,2,4,Otro,1,Femenino,60,3,3,Manufacturador,3,Casado,2238,24001,9,No,12,3,1,16,5,1,4,3,0,3
30,No,Poco_Frecuente,438,Manufacturacion,18,3,Otro,1,Femenino,75,3,1,Manufacturador,3,Soltero,2632,23910,1,No,14,3,3,5,4,2,5,4,0,4
30,No,Poco_Frecuente,438,Manufacturacion,18,3,Otro,1,Femenino,75,3,1,Manufacturador,3,Soltero,2632,23910,1,No,14,3,3,5,4,2,5,4,0,4
30,No,Poco_Frecuente,438,Manufacturacion,18,3,Otro,1,Femenino,75,3,1,Manufacturador,3,Soltero,2632,23910,1,No,14,3,3,5,4,2,5,4,0,4
30,No,Poco_Frecuente,438,Manufacturacion,18,3,Otro,1,Femenino,75,3,1,Manufacturador,3,Soltero,2632,23910,1,No,14,3,3,5,4,2,5,4,0,4
30,No,Poco_Frecuente,438,Manufacturacion,18,3,Otro,1,Femenino,75,3,1,Manufacturador,3,Soltero,2632,23910,1,No,14,3,3,5,4,2,5,4,0,4
41,No,Viaje_Frecuente,857,Investigacion & Desarrollo,10,3,Ciencias,4,Masculino,91,2,4,Jefe Area,1,Divorciado,17181,12888,4,No,13,3,2,21,2,2,7,6,7,7
41,No,Viaje_Frecuente,857,Investigacion & Desarrollo,10,3,Ciencias,4,Masculino,91,2,4,Jefe Area,1,Divorciado,17181,12888,4,No,13,3,2,21,2,2,7,6,7,7
41,No,Viaje_Frecuente,857,Investigacion & Desarrollo,10,3,Ciencias,4,Masculino,91,2,4,Jefe Area,1,Divorciado,17181,12888,4,No,13,3,2,21,2,2,7,6,7,7
41,No,Viaje_Frecuente,857,Investigacion & Desarrollo,10,3,Ciencias,4,Masculino,91,2,4,Jefe Area,1,Divorciado,17181,12888,4,No,13,3,2,21,2,2,7,6,7,7
41,No,Viaje_Frecuente,857,Investigacion & Desarrollo,10,3,Ciencias,4,Masculino,91,2,4,Jefe Area,1,Divorciado,17181,12888,4,No,13,3,2,21,2,2,7,6,7,7
43,No,Viaje_Frecuente,394,Ventas,26,2,Ciencias,3,Masculino,92,3,4,Jefe,4,Casado,16959,19494,1,Si,12,3,4,25,3,4,25,12,4,12
43,No,Viaje_Frecuente,394,Ventas,26,2,Ciencias,3,Masculino,92,3,4,Jefe,4,Casado,16959,19494,1,Si,12,3,4,25,3,4,25,12,4,12
43,No,Viaje_Frecuente,394,Ventas,26,2,Ciencias,3,Masculino,92,3,4,Jefe,4,Casado,16959,19494,1,Si,12,3,4,25,3,4,25,12,4,12
43,No,Viaje_Frecuente,394,Ventas,26,2,Ciencias,3,Masculino,92,3,4,Jefe,4,Casado,16959,19494,1,Si,12,3,4,25,3,4,25,12,4,12
43,No,Viaje_Frecuente,394,Ventas,26,2,Ciencias,3,Masculino,92,3,4,Jefe,4,Casado,16959,19494,1,Si,12,3,4,25,3,4,25,12,4,12
45,No,NoFrecuente,1195,Investigacion & Desarrollo,2,2,Medicina,1,Masculino,65,2,4,Jefe Area,4,Casado,16792,20462,9,No,23,4,4,22,1,3,20,8,11,8
45,No,NoFrecuente,1195,Investigacion & Desarrollo,2,2,Medicina,1,Masculino,65,2,4,Jefe Area,4,Casado,16792,20462,9,No,23,4,4,22,1,3,20,8,11,8
45,No,NoFrecuente,1195,Investigacion & Desarrollo,2,2,Medicina,1,Masculino,65,2,4,Jefe Area,4,Casado,16792,20462,9,No,23,4,4,22,1,3,20,8,11,8
45,No,NoFrecuente,1195,Investigacion & Desarrollo,2,2,Medicina,1,Masculino,65,2,4,Jefe Area,4,Casado,16792,20462,9,No,23,4,4,22,1,3,20,8,11,8
45,No,NoFrecuente,1195,Investigacion & Desarrollo,2,2,Medicina,1,Masculino,65,2,4,Jefe Area,4,Casado,16792,20462,9,No,23,4,4,22,1,3,20,8,11,8
22,No,Poco_Frecuente,534,Manufacturacion,15,3,Diploma Tecnico,2,Femenino,59,3,1,Manufacturador,4,Soltero,2871,23785,1,No,15,3,3,1,5,3,0,0,0,0
22,No,Poco_Frecuente,534,Manufacturacion,15,3,Diploma Tecnico,2,Femenino,59,3,1,Manufacturador,4,Soltero,2871,23785,1,No,15,3,3,1,5,3,0,0,0,0
53,No,Poco_Frecuente,1219,Ventas,2,4,Ciencias,1,Masculino,78,2,4,Jefe,4,Casado,15427,22021,2,No,16,3,3,31,3,3,25,8,3,7
53,No,Poco_Frecuente,1219,Ventas,2,4,Ciencias,1,Masculino,78,2,4,Jefe,4,Casado,15427,22021,2,No,16,3,3,31,3,3,25,8,3,7
53,No,Poco_Frecuente,1219,Ventas,2,4,Ciencias,1,Masculino,78,2,4,Jefe,4,Casado,15427,22021,2,No,16,3,3,31,3,3,25,8,3,7
55,No,Poco_Frecuente,836,Investigacion & Desarrollo,8,3,Medicina,4,Masculino,33,3,4,Jefe Area,3,Divorciado,14756,19730,2,Si,14,3,3,21,2,3,5,0,0,2
55,No,Poco_Frecuente,836,Investigacion & Desarrollo,8,3,Medicina,4,Masculino,33,3,4,Jefe Area,3,Divorciado,14756,19730,2,Si,14,3,3,21,2,3,5,0,0,2
22,No,Poco_Frecuente,534,Manufacturacion,15,3,Diploma Tecnico,2,Femenino,59,3,1,Manufacturador,4,Soltero,2871,23785,1,No,15,3,3,1,5,3,0,0,0,0
22,No,Poco_Frecuente,534,Manufacturacion,15,3,Diploma Tecnico,2,Femenino,59,3,1,Manufacturador,4,Soltero,2871,23785,1,No,15,3,3,1,5,3,0,0,0,0
22,No,Poco_Frecuente,534,Manufacturacion,15,3,Diploma Tecnico,2,Femenino,59,3,1,Manufacturador,4,Soltero,2871,23785,1,No,15,3,3,1,5,3,0,0,0,0
58,No,Poco_Frecuente,682,Ventas,10,4,Medicina,4,Masculino,37,3,4,Ejecutivo Ventas,3,Soltero,13872,24409,0,No,13,3,3,38,1,2,37,10,1,8
58,No,Poco_Frecuente,682,Ventas,10,4,Medicina,4,Masculino,37,3,4,Ejecutivo Ventas,3,Soltero,13872,24409,0,No,13,3,3,38,1,2,37,10,1,8
58,No,Poco_Frecuente,682,Ventas,10,4,Medicina,4,Masculino,37,3,4,Ejecutivo Ventas,3,Soltero,13872,24409,0,No,13,3,3,38,1,2,37,10,1,8
58,No,Poco_Frecuente,682,Ventas,10,4,Medicina,4,Masculino,37,3,4,Ejecutivo Ventas,3,Soltero,13872,24409,0,No,13,3,3,38,1,2,37,10,1,8
58,No,Poco_Frecuente,682,Ventas,10,4,Medicina,4,Masculino,37,3,4,Ejecutivo Ventas,3,Soltero,13872,24409,0,No,13,3,3,38,1,2,37,10,1,8
26,No,Poco_Frecuente,841,Manufacturacion,6,3,Otro,3,Femenino,46,2,1,Manufacturador,2,Casado,2368,23300,1,No,19,3,3,5,3,2,5,4,4,3
26,No,Poco_Frecuente,841,Manufacturacion,6,3,Otro,3,Femenino,46,2,1,Manufacturador,2,Casado,2368,23300,1,No,19,3,3,5,3,2,5,4,4,3
26,No,Poco_Frecuente,841,Manufacturacion,6,3,Otro,3,Masculino,46,2,1,Manufacturador,2,Casado,2368,23300,1,No,19,3,3,5,3,2,5,4,4,3
26,No,Poco_Frecuente,841,Manufacturacion,6,3,Otro,3,Masculino,46,2,1,Manufacturador,2,Casado,2368,23300,1,No,19,3,3,5,3,2,5,4,4,3
26,No,Poco_Frecuente,841,Manufacturacion,6,3,Otro,3,Masculino,46,2,1,Manufacturador,2,Casado,2368,23300,1,No,19,3,3,5,3,2,5,4,4,3
40,No,Viaje_Frecuente,530,Manufacturacion,1,4,Ciencias,3,Masculino,78,2,4,Representante Sanitario,2,Casado,13503,14115,1,No,22,4,4,22,3,2,22,3,11,11
40,No,Viaje_Frecuente,530,Manufacturacion,1,4,Ciencias,3,Masculino,78,2,4,Representante Sanitario,2,Casado,13503,14115,1,No,22,4,4,22,3,2,22,3,11,11
40,No,Viaje_Frecuente,530,Manufacturacion,1,4,Ciencias,3,Masculino,78,2,4,Representante Sanitario,2,Casado,13503,14115,1,No,22,4,4,22,3,2,22,3,11,11
40,No,Viaje_Frecuente,530,Manufacturacion,1,4,Ciencias,3,Masculino,78,2,4,Representante Sanitario,2,Casado,13503,14115,1,No,22,4,4,22,3,2,22,3,11,11
40,No,Viaje_Frecuente,530,Manufacturacion,1,4,Ciencias,3,Masculino,78,2,4,Representante Sanitario,2,Casado,13503,14115,1,No,22,4,4,22,3,2,22,3,11,11
33,No,Viaje_Frecuente,1392,Investigacion & Desarrollo,3,4,Ciencias,4,Masculino,56,3,1,Investigador,3,Casado,2909,23159,1,Si,11,3,3,8,3,3,8,7,3,0
33,No,Viaje_Frecuente,1392,Investigacion & Desarrollo,3,4,Ciencias,4,Masculino,56,3,1,Investigador,3,Casado,2909,23159,1,Si,11,3,3,8,3,3,8,7,3,0
33,No,Viaje_Frecuente,1392,Investigacion & Desarrollo,3,4,Ciencias,4,Masculino,56,3,1,Investigador,3,Casado,2909,23159,1,Si,11,3,3,8,3,3,8,7,3,0
33,No,Viaje_Frecuente,1392,Investigacion & Desarrollo,3,4,Ciencias,4,Masculino,56,3,1,Investigador,3,Casado,2909,23159,1,Si,11,3,3,8,3,3,8,7,3,0
33,No,Viaje_Frecuente,1392,Investigacion & Desarrollo,3,4,Ciencias,4,Masculino,56,3,1,Investigador,3,Casado,2909,23159,1,Si,11,3,3,8,3,3,8,7,3,0
36,No,Viaje_Frecuente,1467,Ventas,11,2,Diploma Tecnico,2,Masculino,92,3,3,Ejecutivo Ventas,4,Casado,9738,22952,0,No,14,3,3,10,6,3,9,7,2,8
36,No,Viaje_Frecuente,1467,Ventas,11,2,Diploma Tecnico,2,Femenino,92,3,3,Ejecutivo Ventas,4,Casado,9738,22952,0,No,14,3,3,10,6,3,9,7,2,8
36,No,Viaje_Frecuente,1467,Ventas,11,2,Diploma Tecnico,2,Femenino,92,3,3,Ejecutivo Ventas,4,Casado,9738,22952,0,No,14,3,3,10,6,3,9,7,2,8
34,Si,Viaje_Frecuente,658,Manufacturacion,7,3,Diploma Tecnico,1,Femenino,66,1,2,Manufacturador,3,Soltero,6074,22887,1,Si,24,4,4,9,3,3,9,7,0,6
34,Si,Viaje_Frecuente,658,Manufacturacion,7,3,Diploma Tecnico,1,Femenino,66,1,2,Manufacturador,3,Soltero,6074,22887,1,Si,24,4,4,9,3,3,9,7,0,6
46,No,Poco_Frecuente,705,Ventas,2,4,Marketing,2,Femenino,83,3,5,Jefe,1,Soltero,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
46,No,Poco_Frecuente,705,Ventas,2,4,Marketing,2,Femenino,83,3,5,Jefe,1,Soltero,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
46,No,Poco_Frecuente,705,Ventas,2,4,Marketing,2,Femenino,83,3,5,Jefe,1,Soltero,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
46,No,Viaje_Frecuente,638,Manufacturacion,1,3,Medicina,3,Masculino,40,2,3,Representante Sanitario,1,Casado,10673,3142,2,Si,13,3,3,21,5,2,10,9,9,5
46,No,Viaje_Frecuente,638,Manufacturacion,1,3,Medicina,3,Masculino,40,2,3,Representante Sanitario,1,Casado,10673,3142,2,Si,13,3,3,21,5,2,10,9,9,5
53,No,Poco_Frecuente,1219,Ventas,2,4,Ciencias,1,Femenino,78,2,4,Jefe,4,Casado,15427,22021,2,No,16,3,3,31,3,3,25,8,3,7
53,No,Poco_Frecuente,1219,Ventas,2,4,Ciencias,1,Femenino,78,2,4,Jefe,4,Casado,15427,22021,2,No,16,3,3,31,3,3,25,8,3,7
36,No,Poco_Frecuente,132,Manufacturacion,6,3,Diploma Tecnico,2,Femenino,55,4,1,Manufacturador,4,Casado,3038,22002,3,No,12,3,2,5,3,3,1,0,0,0
36,No,Poco_Frecuente,132,Manufacturacion,6,3,Diploma Tecnico,2,Femenino,55,4,1,Manufacturador,4,Casado,3038,22002,3,No,12,3,2,5,3,3,1,0,0,0
36,No,Poco_Frecuente,132,Manufacturacion,6,3,Diploma Tecnico,2,Femenino,55,4,1,Manufacturador,4,Casado,3038,22002,3,No,12,3,2,5,3,3,1,0,0,0
36,No,Poco_Frecuente,132,Manufacturacion,6,3,Diploma Tecnico,2,Femenino,55,4,1,Manufacturador,4,Casado,3038,22002,3,No,12,3,2,5,3,3,1,0,0,0
36,No,Poco_Frecuente,132,Manufacturacion,6,3,Diploma Tecnico,2,Femenino,55,4,1,Manufacturador,4,Casado,3038,22002,3,No,12,3,2,5,3,3,1,0,0,0
43,No,Poco_Frecuente,1273,Investigacion & Desarrollo,2,2,Medicina,4,Masculino,72,4,1,Investigador,3,Divorciado,2645,21923,1,No,12,3,4,6,3,2,5,3,1,4
43,No,Poco_Frecuente,1273,Investigacion & Desarrollo,2,2,Medicina,4,Masculino,72,4,1,Investigador,3,Divorciado,2645,21923,1,No,12,3,4,6,3,2,5,3,1,4
43,No,Poco_Frecuente,1273,Investigacion & Desarrollo,2,2,Medicina,4,Masculino,72,4,1,Investigador,3,Divorciado,2645,21923,1,No,12,3,4,6,3,2,5,3,1,4
43,No,Poco_Frecuente,1273,Investigacion & Desarrollo,2,2,Medicina,4,Masculino,72,4,1,Investigador,3,Divorciado,2645,21923,1,No,12,3,4,6,3,2,5,3,1,4
43,No,Poco_Frecuente,1273,Investigacion & Desarrollo,2,2,Medicina,4,Masculino,72,4,1,Investigador,3,Divorciado,2645,21923,1,No,12,3,4,6,3,2,5,3,1,4
59,No,NoFrecuente,1420,Recursos Humanos,2,4,Recursos Humanos,3,Femenino,32,2,5,Jefe RRHH,4,Casado,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
55,No,Poco_Frecuente,111,Ventas,1,2,Ciencias,1,Masculino,70,3,3,Ejecutivo Ventas,4,Casado,10239,18092,3,No,14,3,4,24,4,3,1,0,1,0
55,No,Poco_Frecuente,111,Ventas,1,2,Ciencias,1,Masculino,70,3,3,Ejecutivo Ventas,4,Casado,10239,18092,3,No,14,3,4,24,4,3,1,0,1,0
55,No,Poco_Frecuente,111,Ventas,1,2,Ciencias,1,Masculino,70,3,3,Ejecutivo Ventas,4,Casado,10239,18092,3,No,14,3,4,24,4,3,1,0,1,0
55,No,Poco_Frecuente,111,Ventas,1,2,Ciencias,1,Masculino,70,3,3,Ejecutivo Ventas,4,Casado,10239,18092,3,No,14,3,4,24,4,3,1,0,1,0
55,No,Poco_Frecuente,111,Ventas,1,2,Ciencias,1,Masculino,70,3,3,Ejecutivo Ventas,4,Casado,10239,18092,3,No,14,3,4,24,4,3,1,0,1,0
59,No,NoFrecuente,1420,Recursos Humanos,2,4,Recursos Humanos,3,Femenino,32,2,5,Jefe RRHH,4,Casado,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
36,Si,Poco_Frecuente,318,Investigacion & Desarrollo,9,3,Medicina,4,Femenino,79,2,1,Tecnico Laboratorio,3,Casado,3388,21777,0,Si,17,3,1,2,0,2,1,0,0,0
36,Si,Poco_Frecuente,318,Investigacion & Desarrollo,9,3,Medicina,4,Femenino,79,2,1,Tecnico Laboratorio,3,Casado,3388,21777,0,Si,17,3,1,2,0,2,1,0,0,0
36,Si,Poco_Frecuente,318,Investigacion & Desarrollo,9,3,Medicina,4,Femenino,79,2,1,Tecnico Laboratorio,3,Casado,3388,21777,0,Si,17,3,1,2,0,2,1,0,0,0
36,Si,Poco_Frecuente,318,Investigacion & Desarrollo,9,3,Medicina,4,Femenino,79,2,1,Tecnico Laboratorio,3,Casado,3388,21777,0,Si,17,3,1,2,0,2,1,0,0,0
36,Si,Poco_Frecuente,318,Investigacion & Desarrollo,9,3,Medicina,4,Femenino,79,2,1,Tecnico Laboratorio,3,Casado,3388,21777,0,Si,17,3,1,2,0,2,1,0,0,0
41,Si,Poco_Frecuente,1356,Ventas,20,2,Marketing,2,Femenino,70,3,1,Representante Ventas,2,Soltero,3140,21728,1,Si,22,4,4,4,5,2,4,3,0,2
41,Si,Poco_Frecuente,1356,Ventas,20,2,Marketing,2,Femenino,70,3,1,Representante Ventas,2,Soltero,3140,21728,1,Si,22,4,4,4,5,2,4,3,0,2
41,Si,Poco_Frecuente,1356,Ventas,20,2,Marketing,2,Femenino,70,3,1,Representante Ventas,2,Soltero,3140,21728,1,Si,22,4,4,4,5,2,4,3,0,2
41,Si,Poco_Frecuente,1356,Ventas,20,2,Marketing,2,Femenino,70,3,1,Representante Ventas,2,Soltero,3140,21728,1,Si,22,4,4,4,5,2,4,3,0,2
35,No,NoFrecuente,1097,Manufacturacion,11,2,Medicina,3,Masculino,79,2,3,Representante Sanitario,1,Casado,9884,8302,2,Si,13,3,3,10,3,3,4,0,2,3
35,No,NoFrecuente,1097,Manufacturacion,11,2,Medicina,3,Masculino,79,2,3,Representante Sanitario,1,Casado,9884,8302,2,Si,13,3,3,10,3,3,4,0,2,3
35,No,NoFrecuente,1097,Manufacturacion,11,2,Medicina,3,Masculino,79,2,3,Representante Sanitario,1,Casado,9884,8302,2,Si,13,3,3,10,3,3,4,0,2,3
35,No,NoFrecuente,1097,Manufacturacion,11,2,Medicina,3,Masculino,79,2,3,Representante Sanitario,1,Casado,9884,8302,2,Si,13,3,3,10,3,3,4,0,2,3
35,No,NoFrecuente,1097,Manufacturacion,11,2,Medicina,3,Masculino,79,2,3,Representante Sanitario,1,Casado,9884,8302,2,Si,13,3,3,10,3,3,4,0,2,3
41,Si,Poco_Frecuente,1356,Ventas,20,2,Marketing,2,Femenino,70,3,1,Representante Ventas,2,Soltero,3140,21728,1,Si,22,4,4,4,5,2,4,3,0,2
36,No,Viaje_Frecuente,1467,Ventas,11,2,Diploma Tecnico,2,Masculino,92,3,3,Ejecutivo Ventas,4,Casado,9738,22952,0,No,14,3,3,10,6,3,9,7,2,8
36,No,Viaje_Frecuente,1467,Ventas,11,2,Diploma Tecnico,2,Masculino,92,3,3,Ejecutivo Ventas,4,Casado,9738,22952,0,No,14,3,3,10,6,3,9,7,2,8
26,No,Poco_Frecuente,1443,Ventas,23,3,Marketing,3,Femenino,47,2,2,Ejecutivo Ventas,4,Casado,4157,21436,7,Si,19,3,3,5,2,2,2,2,0,0
26,No,Poco_Frecuente,1443,Ventas,23,3,Marketing,3,Femenino,47,2,2,Ejecutivo Ventas,4,Casado,4157,21436,7,Si,19,3,3,5,2,2,2,2,0,0
